1,2,3,4,5,6,x,y,z,TPC_Rx,TPC_Ry,TPC_Rz,x-real,y-real,z-real
-0.015,-32.256,27.6,-108.625,-129.66,-9.088,-861.653,-57.507,326.86,-1.675,-1.695,-0.331,-860.926,-55.3301,325.142
-17.239,-27.469,3.534,-96.224,-109.568,-100.625,-841.714,174.726,424.484,-0.272,-2.634,-0.611,-841.857,176.178,422.86
-17.34,-24.91,15.034,-105.791,-114.456,-128.725,-871.228,192.225,308.719,0.39,-2.801,-0.839,-870.979,194.004,306.724
18.662,-32.18,16.571,-101.814,-93.744,-7.156,-779.832,-374.136,391.495,-1.479,-2.322,0.467,-779.337,-372.809,390.744
-36.351,-28.989,-29.193,-96.567,-112.024,-6.865,-600.395,343.99,680.916,-1.819,-0.783,0.147,-599.91,345.489,680.228
-48.618,-30.302,-56.371,-95.881,-84.954,-134.413,-396.338,273.34,792.759,0.018,-1.657,-1.205,-395.694,273.994,793.305
24.618,-43.314,-61.084,-105.634,-133.448,-27.164,-174.456,-137.734,871.831,-1.008,-0.741,0.94,-172.58,-135.396,872.134
-20.745,-30.3,6.328,-105.704,-89.487,-23.906,-834.168,197.361,459.751,-1.702,-1.808,0.36,-833.897,199.381,458.411
16.958,-36.328,-43.175,-98.998,-120.504,-75.929,-446.034,-206.721,818.724,-0.368,-1.55,-0.001,-444.823,-205.125,819.222
-30.547,-48.026,-49.191,-100.236,-114.456,-34.77,-277.591,76.449,906.35,-1.112,-0.661,0.101,-276.232,77.9495,906.73
-39.548,-23.162,-32.975,-94.806,-125.827,-127.995,-589.014,406.69,631.795,-0.461,-2.273,-1.412,-588.648,408.434,630.975
24.783,-26.963,-41.169,-103.616,-112.942,-143.504,-524.183,-327.268,728.093,0.857,-1.531,-0.709,-522.958,-326.382,728.605
-52.551,-30.342,-22.474,-94.534,-80.266,-34.955,-537.654,498.404,651.739,-1.663,-1.343,0.21,-537.526,499.995,651.637
11.654,-32.711,5.89,-97.651,-117.275,-101.035,-794.742,-237.819,488.681,0.307,-2.465,-0.593,-794.82,-236.506,487.759
26.841,-36.45,34.834,-121.856,-40.877,-149.24,-673.07,-534.124,360.078,1.755,-1.426,0.799,-672.976,-533.113,360.809
-25.572,-29.702,4.846,-96.365,-123.631,-166.697,-786.325,304.763,454.71,-0.999,2.628,1.139,-786.562,306.514,452.655
-11.814,-33.927,-41.966,-90.742,-111.962,-82.884,-548.662,34.316,780.565,-0.561,-1.715,-0.401,-548.046,35.5926,780.707
-55.54,-33.377,-69.986,-100.351,-85.014,-111.989,-266.397,182.399,823.626,-0.275,-1.203,-1.139,-265.405,182.67,823.89
25.357,-23.573,-73.735,-100.885,-43.651,-61.24,-256.394,-308.439,755.251,0.715,-1.292,1.286,-252.002,-307.327,756.297
-23.499,-29.378,-13.8,-102.847,-116.564,-126.602,-735.017,239.961,602.92,-0.022,-2.304,-1.074,-734.898,241.888,601.824
-25.322,-40.77,25.567,-94.308,-91.332,-129.49,-784.231,251.072,423.326,0.349,-2.829,-0.288,-784.7,253.207,422.076
14.275,-25.008,-33.029,-91.553,-105.938,-31.566,-665.118,-259.105,642.587,-0.947,-1.891,0.481,-664.104,-258.001,642.217
-28.86,-35.53,31.477,-122.582,-113.193,-160.119,-788.591,345.721,359.512,0.817,-2.708,-1.084,-787.862,348.409,357.364
-51.668,-22.202,31.724,-132.824,-81.448,-9.338,-656.515,632.596,168.958,-2.344,-1.1,0.386,-654.654,635.184,167.42
1.633,-30.736,-20.46,-102.671,-106.564,-39.652,-720.308,-106.866,661.757,-0.993,-1.757,0.289,-719.604,-105.144,661.313
